Date,Low,Open,Volume,High,Close,Adjusted Close
22-11-2019,1.879999995,2.039999962,25152300,2.049999952,1.940000057,1.940000057
25-11-2019,1.960000038,1.99000001,36836400,2.119999886,2.049999952,2.049999952
26-11-2019,2.119999886,2.119999886,55122700,2.289999962,2.279999971,2.279999971
27-11-2019,2.279999971,2.319999933,77368600,2.5,2.460000038,2.460000038
29-11-2019,2.200000048,2.359999895,32640300,2.359999895,2.269999981,2.269999981
02-12-2019,2.299999952,2.349999905,32677500,2.440000057,2.440000057,2.440000057
03-12-2019,2.25,2.309999943,37865200,2.480000019,2.400000095,2.400000095
04-12-2019,2.410000086,2.420000076,46792900,2.579999924,2.420000076,2.420000076
05-12-2019,2.25,2.529999971,53235200,2.569999933,2.269999981,2.269999981
06-12-2019,2.200000048,2.319999933,31931900,2.339999914,2.25999999,2.25999999
09-12-2019,2.109999895,2.210000038,31542900,2.25,2.220000029,2.220000029
10-12-2019,2.140000105,2.200000048,25220200,2.279999971,2.269999981,2.269999981
11-12-2019,2.230000019,2.25999999,20342900,2.319999933,2.25999999,2.25999999
12-12-2019,2.25999999,2.299999952,22457900,2.329999924,2.269999981,2.269999981
13-12-2019,2.289999962,2.309999943,37228900,2.430000067,2.390000105,2.390000105
16-12-2019,2.390000105,2.440000057,36916800,2.549999952,2.480000019,2.480000019
17-12-2019,2.5,2.539999962,45654500,2.630000114,2.589999914,2.589999914
18-12-2019,2.539999962,2.579999924,31811100,2.670000076,2.630000114,2.630000114
19-12-2019,2.609999895,2.690000057,36301300,2.730000019,2.619999886,2.619999886
20-12-2019,2.630000114,2.650000095,50971500,2.720000029,2.690000057,2.690000057
23-12-2019,2.650000095,2.74000001,28571900,2.75999999,2.670000076,2.670000076
24-12-2019,2.450000048,2.630000114,32029800,2.630000114,2.529999971,2.529999971
26-12-2019,2.349999905,2.450000048,44173700,2.519999981,2.50999999,2.50999999
27-12-2019,2.410000086,2.539999962,37553300,2.549999952,2.420000076,2.420000076
30-12-2019,2.880000114,2.920000076,432720700,4.869999886,3.720000029,3.720000029
31-12-2019,3.819999933,4.150000095,215008600,4.420000076,4.019999981,4.019999981
02-01-2020,3.609999895,4.099999905,103740100,4.099999905,3.720000029,3.720000029
03-01-2020,3.480000019,3.5,82892400,3.900000095,3.829999924,3.829999924
06-01-2020,3.660000086,4.190000057,106619700,4.239999771,3.680000067,3.680000067
07-01-2020,3.210000038,3.700000048,106336400,3.730000019,3.24000001,3.24000001
08-01-2020,3.130000114,3.140000105,65118100,3.49000001,3.390000105,3.390000105
09-01-2020,3.329999924,3.440000057,54644200,3.579999924,3.460000038,3.460000038
10-01-2020,3.400000095,3.49000001,35626700,3.579999924,3.50999999,3.50999999
13-01-2020,3.519999981,3.710000038,59752700,3.730000019,3.700000048,3.700000048
14-01-2020,3.609999895,3.700000048,55194000,3.819999933,3.75999999,3.75999999
15-01-2020,4,4.190000057,236357900,4.480000019,4.289999962,4.289999962
16-01-2020,3.910000086,3.99000001,97941700,4.400000095,4.369999886,4.369999886
17-01-2020,4.460000038,4.510000229,109601300,4.710000038,4.670000076,4.670000076
21-01-2020,4.519999981,4.599999905,181423600,5.289999962,5.170000076,5.170000076
22-01-2020,4.690000057,5.420000076,207132700,5.650000095,4.789999962,4.789999962
23-01-2020,4.309999943,4.570000172,102535300,4.949999809,4.920000076,4.920000076
24-01-2020,4.510000229,5,65538000,5.059999943,4.659999847,4.659999847
